id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err
SN2019php 0.087 nan nan nan nan nan nan 0.0004044 0.00012672570220756326 0.0 0.0002312 nan nan 0.0 0.0008427 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
SN2019qav 0.1353 0.0222 0.005404047464632412 0.03848 0.005259213724502932 0.03224 0.009292222608181532 0.104 0.011259244912515225 0.1581 0.017286300934555087 0.2089 0.024061498290838 nan nan 0.09446 0.010669509688828255 0.1504 0.017974052520230377 0.195 0.02340285452674524 0.2122 0.025577466645467454 0.1795 0.05172448743100312 0.1937 0.06985908172886328 0.236 0.09831456453649175 0.2057 0.1110222270538652 0.1407 0.01888049257832009 0.1008 0.012417060884122297 0.2524 0.044665200100301804 0.611 0.26348225746717746
SN2019rii 0.1234 0.01556 0.0055966518562440525 0.03417 0.0053134405049835645 0.04998 0.007666981152970183 0.1378 0.021628159884742856 0.2772 0.05034798208468736 nan nan 0.4402 0.06448298070033674 0.1237 0.015438832339267112 0.2078 0.0315800063331216 0.2842 0.07685755981034006 0.3157 0.10010826589248262 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
SN2019rta 0.027 nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.8791 0.0902098980156834 1.34 0.1351095792310819 1.498 0.15122344394967338 1.678 0.17630862741227385 1.984 0.21340593267292268 1.585 0.23647938599379018 2.924 0.4363587629462711 nan nan 1.252 0.12874175740605687 0.7628 0.0784374355776628 3.981 0.4054801476028142 4.492 0.5732879555685781
SN2020oi 0.0052 32.42 3.272793670551201 54.91 5.5744425559871 172.4 18.162881269225984 485.3 49.26755472925362 806.2 83.25748314716222 1092.0 113.8400144940258 1287.0 139.78337705177967 nan nan nan nan nan nan nan nan nan nan 1542.0 169.77308650077612 1703.0 187.5048308711005 1434.0 157.8760323798391 nan nan nan nan nan nan nan nan
SN2020ano 0.03113 0.2297 0.02892537467345929 0.3513 0.03711331028081435 0.6065 0.07041246622580409 1.436 0.18162158462033084 1.672 0.6407012486330896 2.437 0.3138072338235688 2.538 0.3405046842555914 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
AT2020bdh 0.036 0.1093 0.011339279562653 0.1298 0.013157184501252538 nan nan nan nan nan nan nan nan nan nan 0.3634 0.037078819088530855 0.4123 0.04152453333873844 0.45 0.046177154524721424 0.458 0.04941774580047132 0.4721 0.05764034177553079 0.2924 0.1246772537394051 0.4513 0.17588836487954512 nan nan 0.2216 0.025031084674859778 0.1342 0.016971991633276277 nan nan nan nan
AT2020bot 0.197 0.007165 0.003707885684591692 0.01423 0.00223310770004494 0.02667 0.012097639811136717 0.2019 0.020718556899552633 0.6541 0.06563433692816589 0.9621 0.09689723680270765 1.365 0.1446241131347052 0.2437 0.025605260182235995 0.6132 0.06292469149705861 0.9621 0.09799334773340485 1.212 0.12235196156989066 1.505 0.1554260029724756 1.871 0.22743108846417634 2.272 0.3048782215901949 3.028 0.3713661804742053 1.3 0.13197733744851803 0.8872 0.09021216104273304 nan nan nan nan
SN2020ikq 0.042 0.06463 0.006908606950753532 0.07727 0.00792914686457503 0.09863 0.014449649442114505 0.22 0.023589641137584102 0.2606 0.027381271135577326 0.3012 0.030908291703036585 0.2453 0.06245858227657749 0.2247 0.023739443569721682 0.2951 0.029828742866570827 0.3174 0.03425002919706785 0.3571 0.0391798226131768 0.3206 0.07832225226587908 nan nan 0.333 0.20166829200446956 0.4484 0.16799474872745276 0.1975 0.023805180108539405 0.1063 0.015499525799197859 nan nan nan nan
SN2020jmb 0.061 0.02057 0.006317276153533262 0.02941 0.004959186425211297 0.0197 0.005658968545592032 0.05425 0.006538587385666724 0.06195 0.007106500474917313 0.08583 0.011516057181170993 nan nan 0.05526 0.00582207566079315 0.06439 0.0072458988400335815 0.08333 0.012039003696319725 0.06868 0.014122500628429797 0.07749 0.02606835439762165 nan nan nan nan nan nan 0.0418 0.012348959470335952 0.02308 0.007297588163222148 nan nan nan nan
SN2020jji 0.03788 0.07656 0.017845692365386107 0.08921 0.00917338596157384 0.1575 0.016940708987524696 0.4059 0.041084630167496944 0.5883 0.059465433656873304 0.6912 0.0701711080146238 0.7692 0.08222280036583526 0.4173 0.04460684364534214 0.5686 0.057817730844439065 0.6718 0.06907995729587563 0.7448 0.07586117913663089 0.867 0.09793253596226333 nan nan nan nan nan nan 0.4414 0.04650450730843195 0.2714 0.029191473070059343 nan nan nan nan
AT2020kfw 0.059 nan nan nan nan 0.1862 0.021885026844854452 0.5572 0.05595583815831911 0.9595 0.09609637716376201 1.326 0.1330546508018416 1.694 0.17798486480597162 0.5867 0.05930364420505708 0.9701 0.09805829949575914 1.335 0.13395818340064186 1.522 0.1550211392036583 1.854 0.19234512835005727 2.268 0.2805873838931466 2.27 0.31313813245914335 2.063 0.31210467795276636 1.455 0.1474856752366141 0.9188 0.09313370657286223 nan nan nan nan
AT2020aexw 0.0734 0.08783 0.012398430949116102 0.1128 0.013149999277566521 0.1329 0.015012409000556838 0.2697 0.02811703222248038 0.3358 0.03547520260689148 0.4682 0.05716600738200981 0.4809 0.06883466132697974 0.2614 0.02888075483778082 0.286 0.03066765233923197 0.4219 0.04470065995038553 0.393 0.04581071490383008 0.4022 0.0554765941636651 0.5134 0.11019979900163157 nan nan 0.5813 0.14955914181353142 0.2908 0.03520329530029824 0.2025 0.02370326770721708 nan nan nan nan
AT2020yqt 0.0986 0.01783 0.005250981812956506 0.04831 0.0060027935163555314 0.08411 0.01138979020877909 0.2312 0.023824533594595302 0.3545 0.03630593710400546 0.4831 0.05062383825827512 0.6206 0.06856930216941107 0.241 0.024505583037340694 0.3584 0.03677817445170437 0.476 0.048567533558952734 0.4907 0.05460720190597574 0.4957 0.06159398103711109 nan nan nan nan nan nan 0.5191 0.05676098748260112 0.3461 0.03759070363800072 1.941 0.2013754195526356 1.749 0.3411457459796326
SN2020rsc 0.0313 0.134 0.014806242062049373 0.2231 0.023092115126163736 nan nan nan nan nan nan nan nan nan nan 1.543 0.1564076024367102 2.538 0.2546706139310148 3.221 0.32649814409886013 3.621 0.3670422467509701 4.306 0.44277078720258867 5.105 0.5544720101141266 7.198 0.8099691352144229 4.831 0.5542131088308901 3.278 0.33179452813450677 2.12 0.21429083624831 12.38 1.2422442432951746 14.93 1.5418411072480849
AT2020xnd 0.2442 nan nan nan nan nan nan 0.000521 0.00012771049291268122 0.0008979 0.000294616028246937 nan nan 0.0 0.000213 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan
SN2020vyv 0.062 0.05486 0.01087684972774746 0.09171 0.012027102809903972 0.1538 0.017305859007862048 0.3598 0.03627782685057086 0.5307 0.05672765198736856 0.6989 0.07201858440708203 0.8025 0.0967211590087712 0.3736 0.04355036165177047 0.5273 0.05497221570939269 0.6818 0.07125889979504314 0.7159 0.11031488113577424 0.8106 0.2142279477565894 0.7835 0.13750535444119985 1.192 0.21099632698224868 1.087 0.2095053698595814 0.5998 0.06431410809456974 0.4007 0.043235893653306164 nan nan 3.702 0.5323821935414444
SN2020xlt 0.0384 0.286 0.038025828064619446 0.5356 0.05725317895104166 nan nan nan nan nan nan nan nan nan nan 3.059 0.32504279718215573 5.215 0.543678158472455 6.712 0.6947358706731646 7.915 0.8684097765456122 9.112 1.0665523568958066 11.67 1.251368007422277 12.8 1.419343823743916 nan nan 5.39 0.5566345300104909 2.951 0.3174108063692854 nan nan nan nan
