# id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err 2mass.J  2mass.J_err  2mass.H  2mass.H_err  2mass.Ks  2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err
SN2019qav 0.1353 0.0222 0.004927 0.03848 0.003585 0.03224 0.008715 0.104 0.004314 0.1581 0.00699 0.2089 0.01194  nan  nan 0.09446 0.004961 0.1504 0.009842 0.195 0.01294 0.2122 0.01428 0.1795 0.04851 0.1937 0.06712 0.236 0.09544 0.2057 0.1091 0.1407 0.01259 0.1008 0.007251 0.2524 0.03685 0.611 0.2563
SN2019rii 0.1234 0.01556 0.005376 0.03417 0.004069 0.04998 0.005814 0.1378 0.01667 0.2772 0.04203  nan  nan 0.4402 0.04712 0.1237 0.009238 0.2078 0.02378 0.2842 0.07141 0.3157 0.095  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
SN2019rta 0.027  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan 0.8791 0.02024 1.34 0.01728 1.498 0.0207 1.678 0.05411 1.984 0.07861 1.585 0.1755 2.924 0.3239  nan  nan 1.252 0.02999 0.7628 0.01827 3.981 0.07701 4.492 0.3562
SN2020oi 0.0052 32.42 0.4479 54.91 0.9609 172.4 5.716 485.3 8.493 806.2 20.79 1092.0 32.17 1287.0 54.55  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan 1542.0 71.03 1703.0 78.46 1434.0 66.04  nan  nan  nan  nan  nan  nan  nan  nan
SN2020ano 0.03113 0.2297 0.01758 0.3513 0.01197 0.6065 0.03577 1.436 0.1112 1.672 0.6185 2.437 0.1977 2.538 0.227  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
AT2020bdh 0.036 0.1093 0.003019 0.1298 0.002152  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan 0.3634 0.007365 0.4123 0.004937 0.45 0.01036 0.458 0.01856 0.4721 0.03307 0.2924 0.1212 0.4513 0.17  nan  nan 0.2216 0.01164 0.1342 0.01039  nan  nan  nan  nan
AT2020bot 0.197 0.007165 0.003638 0.01423 0.001721 0.02667 0.0118 0.2019 0.00465 0.6541 0.005422 0.9621 0.01152 1.365 0.04779 0.2437 0.007857 0.6132 0.01412 0.9621 0.01861 1.212 0.01675 1.505 0.03882 1.871 0.1293 2.272 0.2033 3.028 0.215 1.3 0.02276 0.8872 0.01634  nan  nan  nan  nan
SN2020ikq 0.042 0.06463 0.002441 0.07727 0.001779 0.09863 0.01056 0.22 0.008513 0.2606 0.008403 0.3012 0.006936 0.2453 0.05744 0.2247 0.007659 0.2951 0.004349 0.3174 0.01287 0.3571 0.01612 0.3206 0.07146  nan  nan 0.333 0.1989 0.4484 0.1619 0.1975 0.01329 0.1063 0.01128  nan  nan  nan  nan
SN2020jmb 0.061 0.02057 0.005973 0.02941 0.003993 0.0197 0.005305 0.05425 0.00365 0.06195 0.003482 0.08583 0.007678  nan  nan 0.05526 0.001833 0.06439 0.003323 0.08333 0.008689 0.06868 0.01234 0.07749 0.02489  nan  nan  nan  nan  nan  nan 0.0418 0.01162 0.02308 0.006923  nan  nan  nan  nan
SN2020jji 0.03788 0.07656 0.01612 0.08921 0.002137 0.1575 0.006239 0.4059 0.006356 0.5883 0.00867 0.6912 0.0121 0.7692 0.02905 0.4173 0.01576 0.5686 0.01048 0.6718 0.01609 0.7448 0.01441 0.867 0.04554  nan  nan  nan  nan  nan  nan 0.4414 0.01464 0.2714 0.01075  nan  nan  nan  nan
AT2020kfw 0.059  nan  nan  nan  nan 0.1862 0.0115 0.5572 0.005132 0.9595 0.005302 1.326 0.01099 1.694 0.05461 0.5867 0.008646 0.9701 0.0143 1.335 0.01107 1.522 0.02944 1.854 0.05122 2.268 0.1652 2.27 0.2157 2.063 0.2342 1.455 0.02412 0.9188 0.01523  nan  nan  nan  nan
AT2020aexw 0.0734 0.08783 0.008751 0.1128 0.006759 0.1329 0.006982 0.2697 0.007949 0.3358 0.01144 0.4682 0.0328 0.4809 0.04925 0.2614 0.01228 0.286 0.01107 0.4219 0.01477 0.393 0.02354 0.4022 0.03821 0.5134 0.09751  nan  nan 0.5813 0.1378 0.2908 0.01984 0.2025 0.01232  nan  nan  nan  nan
AT2020yqt 0.0986 0.01783 0.004939 0.04831 0.003563 0.08411 0.00768 0.2312 0.005751 0.3545 0.007837 0.4831 0.01513 0.6206 0.02916 0.241 0.00444 0.3584 0.008254 0.476 0.009646 0.4907 0.02396 0.4957 0.03656  nan  nan  nan  nan  nan  nan 0.5191 0.02296 0.3461 0.01467 1.941 0.05364 1.749 0.2929
SN2020rsc 0.0313 0.134 0.006298 0.2231 0.005959  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan 1.543 0.02559 2.538 0.02104 3.221 0.05341 3.621 0.06003 4.306 0.1031 5.105 0.2164 7.198 0.3714 4.831 0.2716 3.278 0.05133 2.12 0.03125 12.38 0.1026 14.93 0.385
AT2020xnd 0.2442  nan  nan  nan  nan  nan  nan 0.000521 0.0001166 0.0008979 0.0002806  nan  nan 0.0 0.000213  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
SN2020vyv 0.062 0.05486 0.009392 0.09171 0.007781 0.1538 0.007934 0.3598 0.004639 0.5307 0.02004 0.6989 0.01738 0.8025 0.05399 0.3736 0.02238 0.5273 0.01554 0.6818 0.02072 0.7159 0.08393 0.8106 0.1983 0.7835 0.113 1.192 0.1741 1.087 0.1791 0.5998 0.02321 0.4007 0.01624  nan  nan 3.702 0.3826
SN2020xlt  0.0384 0.286 0.02506 0.5356 0.02023  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan 3.059 0.1099 5.215 0.1537 6.712 0.1793 7.915 0.3573 9.112 0.5543 11.67 0.4517 12.8 0.6133  nan  nan 5.39 0.139 2.951 0.1169  nan  nan  nan  nan
